case_id,cnr_number,district,court_type,case_type,case_subtype,acts_and_sections,case_status,filed_date,last_hearing_date,petitioner_status,number_of_petitioners,number_of_respondents,petitioner_has_legal_aid,is_government_litigant,judge_id,judge_efficiency_score,evidence_complexity_score,is_bailable,fir_number,undertrial_duration_months,dispute_value_inr,is_commercial_dispute,case_age_days,adjournments_count,priority_score
CASE20250000,KA4302-946594-2024,Madhyamgram,District Court,Family,Divorce,Civil Procedure Code,Summons,29-08-2011,20-07-2013,Normal,5,1,FALSE,FALSE,JUDGE-13,1.153669741,4,,,0,0,FALSE,5157,14,31.2
CASE20250001,KA7105-926138-2013,Tinsukia,Magistrate Court,Criminal,Dowry,IPC 420,Evidence,17-06-2011,13-11-2011,Normal,5,3,FALSE,FALSE,JUDGE-1,0.940730844,7,Bailable,FIR-332/2025,0,,FALSE,5230,53,43.5
CASE20250002,KA3607-143494-2010,Amritsar,Magistrate Court,Criminal,Dowry,POCSO Act,Arguments,13-11-2012,11-04-2014,Normal,4,6,FALSE,FALSE,JUDGE-12,0.640932752,2,Non-Bailable,FIR-127/2025,0,,FALSE,4715,0,36
CASE20250003,KA6902-480187-2011,Amravati,Magistrate Court,Criminal,Assault,NDPS Act,Arguments,27-01-2024,17-10-2025,Normal,5,4,FALSE,FALSE,JUDGE-20,0.760254494,3,Non-Bailable,FIR-617/2025,0,,FALSE,623,32,25.37
CASE20250004,KA1709-969790-2016,Vasai-Virar,District Court,Criminal,Assault,POCSO Act,Arguments,24-01-2022,22-01-2023,Normal,1,4,FALSE,TRUE,JUDGE-20,0.760254494,2,Non-Bailable,FIR-587/2025,0,,FALSE,1356,42,37.89
CASE20250005,KA1806-425072-2020,Bhimavaram,District Court,Civil,Land Dispute,Civil Procedure Code,Summons,04-02-2020,11-04-2020,Normal,4,3,FALSE,FALSE,JUDGE-13,1.153669741,9,,,0,1681624,FALSE,2076,26,26.52
CASE20250006,KA5308-886396-2011,Amroha,District Court,Civil,Contract Breach,Civil Procedure Code,Summons,05-01-2020,06-12-2021,Normal,5,3,FALSE,FALSE,JUDGE-17,1.392299379,6,,,0,3437041,FALSE,2106,8,19.82
CASE20250007,KA4301-699373-2021,Nagercoil,District Court,Civil,Contract Breach,Civil Procedure Code,Summons,29-11-2024,29-09-2026,Normal,1,4,FALSE,TRUE,JUDGE-3,1.394636182,1,,,0,1259460,FALSE,316,5,9.16
CASE20250008,KA8508-920686-2018,Machilipatnam,District Court,Criminal,Fraud,POCSO Act,Evidence,21-02-2019,28-04-2020,Corporation,3,2,FALSE,FALSE,JUDGE-8,1.203428678,6,Bailable,FIR-12/2025,0,,FALSE,2424,6,21.4
CASE20250009,KA1502-422866-2017,Rajpur Sonarpur,District Court,Criminal,Assault,IPC 420,Arguments,08-09-2021,11-07-2022,Normal,2,6,FALSE,FALSE,JUDGE-17,1.392299379,8,Non-Bailable,FIR-502/2025,0,,FALSE,1494,72,39.23
